country_iso2,country_iso3,country_name,indicator,series_code,year,value
AR,ARG,Argentina,GINI,SI.POV.GINI,2024,42.4
AR,ARG,Argentina,GINI,SI.POV.GINI,2023,42.4
AR,ARG,Argentina,GINI,SI.POV.GINI,2022,40.7
AR,ARG,Argentina,GINI,SI.POV.GINI,2021,42.4
AR,ARG,Argentina,GINI,SI.POV.GINI,2020,42.7
AR,ARG,Argentina,GINI,SI.POV.GINI,2019,43.3
AR,ARG,Argentina,GINI,SI.POV.GINI,2018,41.7
AR,ARG,Argentina,GINI,SI.POV.GINI,2017,41.4
AR,ARG,Argentina,GINI,SI.POV.GINI,2016,42.3
AR,ARG,Argentina,GINI,SI.POV.GINI,2014,41.8
AR,ARG,Argentina,GINI,SI.POV.GINI,2013,41.1
AR,ARG,Argentina,GINI,SI.POV.GINI,2012,41.4
AR,ARG,Argentina,GINI,SI.POV.GINI,2011,42.7
AR,ARG,Argentina,GINI,SI.POV.GINI,2010,43.7
AR,ARG,Argentina,GINI,SI.POV.GINI,2009,43.8
AR,ARG,Argentina,GINI,SI.POV.GINI,2008,45.0
AR,ARG,Argentina,GINI,SI.POV.GINI,2007,46.3
AR,ARG,Argentina,GINI,SI.POV.GINI,2006,46.4
AR,ARG,Argentina,GINI,SI.POV.GINI,2005,47.8
AR,ARG,Argentina,GINI,SI.POV.GINI,2004,48.5
AR,ARG,Argentina,GINI,SI.POV.GINI,2003,51.0
AR,ARG,Argentina,GINI,SI.POV.GINI,2002,53.8
AR,ARG,Argentina,GINI,SI.POV.GINI,2001,53.3
AR,ARG,Argentina,GINI,SI.POV.GINI,2000,51.0
AR,ARG,Argentina,GINI,SI.POV.GINI,1999,49.8
AR,ARG,Argentina,GINI,SI.POV.GINI,1998,50.7
AR,ARG,Argentina,GINI,SI.POV.GINI,1997,49.1
AR,ARG,Argentina,GINI,SI.POV.GINI,1996,49.5
AR,ARG,Argentina,GINI,SI.POV.GINI,1995,48.9
AR,ARG,Argentina,GINI,SI.POV.GINI,1994,45.9
AR,ARG,Argentina,GINI,SI.POV.GINI,1993,44.8
AR,ARG,Argentina,GINI,SI.POV.GINI,1992,45.5
AR,ARG,Argentina,GINI,SI.POV.GINI,1991,46.8
AR,ARG,Argentina,GINI,SI.POV.GINI,1987,45.3
AR,ARG,Argentina,GINI,SI.POV.GINI,1986,42.8
AR,ARG,Argentina,GINI,SI.POV.GINI,1980,40.8
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,2024,638365455340.04
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,2023,649461687959.174
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,2022,633993756301.08
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,2021,486564085480.036
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,2020,385740508436.965
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,2019,447754683615.225
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,2018,524819892360.176
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,2017,643628393281.364
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,2016,557532320662.955
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,2015,594749285413.212
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,2014,526319673731.638
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,2013,552025140252.246
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,2012,545982375701.128
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,2011,530158122010.442
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,2010,423627422092.49
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,2009,332976484577.619
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,2008,361558037110.419
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,2007,287530508430.568
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,2006,232557260817.308
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,2005,198737095012.282
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,2004,164657930452.787
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,2003,127586973492.177
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,2002,97724004251.8602
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,2001,268696750000.0
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,2000,284203750000.0
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1999,283523000000.0
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1998,298948250000.0
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1997,292859000000.0
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1996,272149750000.0
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1995,258031750000.0
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1994,257440000000.0
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1993,236741715015.015
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1992,228778917308.17
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1991,189719984268.485
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1990,141352654305.163
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1989,76629728760.123
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1988,126890235049.092
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1987,108810885301.253
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1986,105872372613.857
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1985,88150891728.1064
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1984,116915052107.031
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1983,103979106777.911
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1982,84307486836.724
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1981,78676842366.5529
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1980,76961923741.0701
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1979,69252328951.6441
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1978,89049453088.3282
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1977,56781000101.0848
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1976,51169499892.1722
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1975,52438647921.9226
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1974,72436777342.4554
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1973,52544000116.9037
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1972,34733000536.2862
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1971,33293199095.4881
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1970,31584210365.5447
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1969,31256284543.6155
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1968,26436857247.4982
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1967,24256667553.2569
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1966,28630474727.9023
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1965,28344705966.6389
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1964,25605249381.7597
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1963,18272123664.4715
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1962,18337691145.3688
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1961,20132220374.9093
AR,ARG,Argentina,GDP,NY.GDP.MKTP.CD,1960,15865474315.4056
BO,BOL,Bolivia,GINI,SI.POV.GINI,2023,42.1
BO,BOL,Bolivia,GINI,SI.POV.GINI,2022,41.2
BO,BOL,Bolivia,GINI,SI.POV.GINI,2021,40.9
BO,BOL,Bolivia,GINI,SI.POV.GINI,2020,43.6
BO,BOL,Bolivia,GINI,SI.POV.GINI,2019,41.6
BO,BOL,Bolivia,GINI,SI.POV.GINI,2018,42.6
BO,BOL,Bolivia,GINI,SI.POV.GINI,2017,44.6
BO,BOL,Bolivia,GINI,SI.POV.GINI,2016,45.2
BO,BOL,Bolivia,GINI,SI.POV.GINI,2015,46.7
BO,BOL,Bolivia,GINI,SI.POV.GINI,2014,47.8
BO,BOL,Bolivia,GINI,SI.POV.GINI,2013,47.6
BO,BOL,Bolivia,GINI,SI.POV.GINI,2012,46.6
BO,BOL,Bolivia,GINI,SI.POV.GINI,2011,46.1
BO,BOL,Bolivia,GINI,SI.POV.GINI,2009,49.2
BO,BOL,Bolivia,GINI,SI.POV.GINI,2008,50.8
BO,BOL,Bolivia,GINI,SI.POV.GINI,2007,54.5
BO,BOL,Bolivia,GINI,SI.POV.GINI,2006,56.7
BO,BOL,Bolivia,GINI,SI.POV.GINI,2005,58.5
BO,BOL,Bolivia,GINI,SI.POV.GINI,2004,55.0
BO,BOL,Bolivia,GINI,SI.POV.GINI,2002,59.3
BO,BOL,Bolivia,GINI,SI.POV.GINI,2001,57.4
BO,BOL,Bolivia,GINI,SI.POV.GINI,2000,61.6
BO,BOL,Bolivia,GINI,SI.POV.GINI,1999,58.0
BO,BOL,Bolivia,GINI,SI.POV.GINI,1997,58.1
BO,BOL,Bolivia,GINI,SI.POV.GINI,1992,49.1
BO,BOL,Bolivia,GINI,SI.POV.GINI,1990,42.0
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,2024,54881327452.9667
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,2023,52340206946.4544
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,2022,50959081953.6903
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,2021,47877892402.3155
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,2020,42313784081.042
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,2019,49056643589.0014
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,2018,48414038842.2576
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,2017,45927439594.7902
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,2016,33941126193.9219
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,2015,33000198248.9146
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,2014,32996188017.3661
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,2013,30659338885.6729
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,2012,27084497481.9103
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,2011,23963164696.592
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,2010,19649723722.1034
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,2009,17339992193.7322
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,2008,16674276285.8956
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,2007,13120108008.3477
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,2006,11451844902.2214
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,2005,9549122905.32852
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,2004,8773451751.5121
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,2003,8082399639.54305
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,2002,7905485146.44351
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,2001,8141516928.39489
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,2000,8397855484.76908
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1999,8285064434.56826
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1998,8497494652.12546
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1997,7925736821.45034
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1996,7396949126.35685
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1995,6715161732.22658
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1994,5981222858.82727
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1993,5734699488.84934
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1992,5643868748.68126
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1991,5343262457.10226
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1990,4867582597.51312
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1989,4715973437.43673
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1988,4597612362.2748
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1987,4347956337.93221
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1986,3959382833.13461
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1985,5377276554.93016
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1984,6169483225.35915
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1983,5422656823.38212
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1982,5594126368.90981
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1981,5891598694.9429
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1980,4537479608.48287
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1979,4421336382.94397
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1978,3758220889.55522
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1977,3227436281.85907
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1976,2731984007.996
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1975,2404697651.17441
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1974,2100249875.06247
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1973,1262968515.74213
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1972,1257615644.97932
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1971,1095622895.6229
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1970,1017003367.00337
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1969,929629629.62963
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1968,857912457.912458
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1967,755808080.808081
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1966,669191919.191919
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1965,604377104.377104
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1964,544023569.023569
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1963,482828282.828283
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1962,448400673.400673
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1961,410101010.10101
BO,BOL,Bolivia,GDP,NY.GDP.MKTP.CD,1960,377020202.020202
BR,BRA,Brasil,GINI,SI.POV.GINI,2023,51.6
BR,BRA,Brasil,GINI,SI.POV.GINI,2022,52.0
BR,BRA,Brasil,GINI,SI.POV.GINI,2021,52.9
BR,BRA,Brasil,GINI,SI.POV.GINI,2020,48.9
BR,BRA,Brasil,GINI,SI.POV.GINI,2019,53.5
BR,BRA,Brasil,GINI,SI.POV.GINI,2018,53.9
BR,BRA,Brasil,GINI,SI.POV.GINI,2017,53.3
BR,BRA,Brasil,GINI,SI.POV.GINI,2016,53.4
BR,BRA,Brasil,GINI,SI.POV.GINI,2015,51.9
BR,BRA,Brasil,GINI,SI.POV.GINI,2014,52.0
BR,BRA,Brasil,GINI,SI.POV.GINI,2013,52.7
BR,BRA,Brasil,GINI,SI.POV.GINI,2012,53.4
BR,BRA,Brasil,GINI,SI.POV.GINI,2011,52.9
BR,BRA,Brasil,GINI,SI.POV.GINI,2009,53.7
BR,BRA,Brasil,GINI,SI.POV.GINI,2008,54.0
BR,BRA,Brasil,GINI,SI.POV.GINI,2007,54.9
BR,BRA,Brasil,GINI,SI.POV.GINI,2006,55.6
BR,BRA,Brasil,GINI,SI.POV.GINI,2005,56.3
BR,BRA,Brasil,GINI,SI.POV.GINI,2004,56.5
BR,BRA,Brasil,GINI,SI.POV.GINI,2003,57.6
BR,BRA,Brasil,GINI,SI.POV.GINI,2002,58.1
